BUDGET FISCAL YEAR,FTYP,FUNDTYPE,APPR,APPROPRIATION,Service Number,SERVICE,OBJECTGROUP,EXPENDITURE CLASSIFICATION,CURRENT BUDGET,ENCUMBRANCE,EXPENSES,ENCUMB&EXPENSE
2016,GNFD,General Fund,0001EAD,Mgmt Services - Ethics and Diversity,5.3,Ethics and Diversity,QM,Supplies & Materials,1500,0,11276.76,11276.76
2016,GNFD,General Fund,0001LIB,Library GF,4.0599999999999996,Library Materials & Collection Management,RC,Capital Outlay,3345000,6831.78,3332667.68,3339499.46
2016,GNFD,General Fund,0001PNV,Planning and Urban Design GF,2.3199999999999998,Planning and Design Studio,RE,Reimbursements,-293405,0,0,0
2016,GNFD,General Fund,0001SEC,City Secretary's Office GF,5.16,City Council Support,QM,Supplies & Materials,6449,169.05,27418.23,27587.28
2016,GNFD,General Fund,0001OEQ,Mgmt Services - Environmental Quaity,3.14,Environmental Quality,QV,Contractual & Other Services,760669,0,214261.15,214261.15
2016,GNFD,General Fund,0001CTS,Court and Detention Services GF,1.17,Municipal Court Services,PS,Personnel Services,5239616,0,4833211.86,4833211.86
2017,EFOP,Enterprise Operating Fund,0130AVI,Airport Operations AVI,2.12,Dallas Love Field,WB,Debt Svc-Interest On Bonds,3150,0,2202.04,2202.04
2016,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.1399999999999999,Inspection and Life Safety Education,QM,Supplies & Materials,393773,2225,309931.32,312156.32
2017,GNFD,General Fund,0001PKR,Park and Recreation GF,4.12,Recreation Services,RC,Capital Outlay,45000,0,11360.25,11360.25
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.18,City GIS Services,RE,Reimbursements,-1008707,0,-1041054.17,-1041054.17
2016,GNFD,General Fund,0001PBW,Public Works GF,5.43,Land Surveying Services,RE,Reimbursements,-623819,0,-547615.33,-547615.33
2017,GNFD,General Fund,0001CCS,Code Compliance GF,3.12,Dallas Animal Services,RE,Reimbursements,0,0,-17680,-17680
2016,GNFD,General Fund,0001POM,Business Development & Procurement GF,5.49,Purchasing/Contract Management,QM,Supplies & Materials,12929,0,13529.65,13529.65
2016,GNFD,General Fund,0001PBW,Public Works GF,2.0699999999999998,Capital Facilities,QV,Contractual & Other Services,417491,0,489247.04,489247.04
2016,GNFD,General Fund,0001STS,Street Services GF,2.38,Rights-of-Way Maintenance Contracts and Inspections Group,RE,Reimbursements,-954000,0,0,0
2016,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.1100000000000001,Fire Investigation & Explosive Ordnance Disposal,QM,Supplies & Materials,34455,0,61287.12,61287.12
2016,GNFD,General Fund,0001STS,Street Services GF,2.39,Service Maintenance Areas,RE,Reimbursements,-3425443,0,0,0
2016,GNFD,General Fund,0001POM,Business Development & Procurement GF,5.49,Purchasing/Contract Management,PS,Personnel Services,1864511,0,1934395.36,1934395.36
2016,INSV,Internal Service Fund,0199POM,Express Business Center POM,5.B,Business Services,PS,Personnel Services,433998,0,436469.24,436469.24
2016,GNFD,General Fund,0001DPD,Police Department GF,1.23,Police Criminal Investigations,QM,Supplies & Materials,508796,4054,558158.93,562212.93
2016,GNFD,General Fund,0001STS,Street Services GF,9.99,Department Support,RE,Reimbursements,-1225127,0,0,0
2016,GNFD,General Fund,0001BMS,Office of Financial Services GF,5.19,Citywide Capital and Operating Budget Dev and Monitoring,QV,Contractual & Other Services,368369,51.51,391858.24,391909.75
2016,GNFD,General Fund,RSVTRAN,Reserves & Transfers,5.22,Contingency Reserve,TR,Transfers Out,2628101,0,2628101,2628101
2016,GNFD,General Fund,RSVTRAN,Reserves & Transfers,5.44,Liability/Claims Fund Transfer,QV,Contractual & Other Services,1994219,0,1994219,1994219
2016,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.03,Animal Remains Collection,QM,Supplies & Materials,45688,0,31903.34,31903.34
2017,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,2.1800000000000002,Fire Inspection for New Construction,RE,Reimbursements,-1629602,0,-436257.64,-436257.64
2016,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.16,Express Plan Review,QV,Contractual & Other Services,22700,0,27198.55,27198.55
2016,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.1200000000000001,Fire Training and Recruitment,PS,Personnel Services,11797172,0,7308182.84,7308182.84
2017,EFOP,Enterprise Operating Fund,0130AVI,Airport Operations AVI,2.21,Aviation Facilities - Dallas Executive Airport & Vertiport,RC,Capital Outlay,280000,67744,0,67744
2016,GNFD,General Fund,0001PER,Human Resources GF,5.39,Human Resource Consulting,QV,Contractual & Other Services,889705,0,749462.93,749462.93
2016,GNFD,General Fund,0001PBW,Public Works GF,2.0499999999999998,Capital and Implementation Program,RE,Reimbursements,-5164604,0,-4844198.49,-4844198.49
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,3.25,Wastewater Treatment,RC,Capital Outlay,591569,0,697445.4,697445.4
2016,GNFD,General Fund,0001DPD,Police Department GF,1.31,Police Special Operations,QM,Supplies & Materials,1265056,2655.7,628818.48,631474.18
2016,GNFD,General Fund,0001LIB,Library GF,4.08,"Literacy Initiatives, Education & Community Engagement",QM,Supplies & Materials,28201,0,18977.68,18977.68
2016,GNFD,General Fund,0001CVS,Civil Service GF,5.2,Civil Service Board Administration/Employee Appeals Process,QV,Contractual & Other Services,61936,0,22278.01,22278.01
2016,GNFD,General Fund,0001DPD,Police Department GF,1.21,Police Administrative Support,QM,Supplies & Materials,2481323,0,2932476.2,2932476.2
2016,GNFD,General Fund,0001CCO,City Controller's Office GF,5.32,Financial Reporting,QV,Contractual & Other Services,228668,0,218287.38,218287.38
2016,GNFD,General Fund,0001PBW,Public Works GF,2.2599999999999998,Interagency and Transportation Administration,QM,Supplies & Materials,8209,0,10154.65,10154.65
2016,INSV,Internal Service Fund,0199POM,Express Business Center POM,5.G,Disposal of Surplus and Police Unclaimed Property,PS,Personnel Services,188844,0,186348.68,186348.68
2016,GNFD,General Fund,0001PKR,Park and Recreation GF,4.04,Golf and Tennis Centers,QM,Supplies & Materials,1217229,0,1336539.13,1336539.13
2016,GNFD,General Fund,0001PKR,Park and Recreation GF,4.0999999999999996,"Planning, Design, Construction & EMS and Environ Compliance",QV,Contractual & Other Services,283237,0,72574.36,72574.36
2016,GNFD,General Fund,0001PKR,Park and Recreation GF,4.04,Golf and Tennis Centers,RE,Reimbursements,-357319,0,-535611.07,-535611.07
2016,GNFD,General Fund,0001LIB,Library GF,4.0599999999999996,Library Materials & Collection Management,QV,Contractual & Other Services,1944446,0,1399658.85,1399658.85
2016,GNFD,General Fund,0001PER,Human Resources GF,5.21,Compensation Analysis / Classification,QV,Contractual & Other Services,121455,0,82371.73,82371.73
2016,INSV,Internal Service Fund,0199POM,Express Business Center POM,5.G,Disposal of Surplus and Police Unclaimed Property,TR,Transfers Out,11368,0,0,0
2016,INSV,Internal Service Fund,0196EBS,Equipment Services EBS,5.E,City Fleet Maintenance and Repair Services,PS,Personnel Services,13098086,0,12776108.53,12776108.53
2016,GNFD,General Fund,0001PBW,Public Works GF,2.0699999999999998,Capital Facilities,QM,Supplies & Materials,10040,0,25186.86,25186.86
2016,GNFD,General Fund,0001PKR,Park and Recreation GF,2.2999999999999998,Operation & Maintenance of Fair Park,PS,Personnel Services,3534037,0,3289819.77,3289819.77
2016,OTHO,Other Operating Fund,0278PER,Employee Benefits Administration,5.J,HR Benefits Administration Services,PS,Personnel Services,613928,0,513333.48,513333.48
2016,GNFD,General Fund,0001PNV,Planning and Urban Design GF,9.99,Department Support,QV,Contractual & Other Services,4000,512.5,451925.39,452437.89
2016,GNFD,General Fund,0001LIB,Library GF,4.07,Library Operations & Public Service,QM,Supplies & Materials,1411894,4.16,1548218.46,1548222.62
2016,OTHO,Other Operating Fund,0286PER,Wellness Program Fund,5.R,Wellness Program,QM,Supplies & Materials,1000,0,392.9,392.9
2016,GNFD,General Fund,0001PKR,Park and Recreation GF,4.12,Recreation Services,PS,Personnel Services,12693742,0,13307630.72,13307630.72
2016,GNFD,General Fund,0001DPD,Police Department GF,1.2,Police Academy and In-service Training,PS,Personnel Services,17663542,0,16743902.62,16743902.62
2016,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.1200000000000001,Fire Training and Recruitment,QM,Supplies & Materials,461293,0,901942.65,901942.65
2016,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.K,Internal Computer Support,RC,Capital Outlay,0,0,755280,755280
2017,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.33,Special Operations,RE,Reimbursements,-5951946,0,-1423171.39,-1423171.39
2016,INSV,Internal Service Fund,0196EBS,Equipment Services EBS,5.I,Fuel Procurement and Management,QM,Supplies & Materials,14245013,0,11073755.2,11073755.2
2016,GNFD,General Fund,0001DPD,Police Department GF,1.2,Police Academy and In-service Training,QM,Supplies & Materials,314647,3538.65,835163.76,838702.41
2016,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.33,Special Operations,RE,Reimbursements,-5951946,0,-5853507.19,-5853507.19
2016,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.08,Construction Plan Review and Permitting,QM,Supplies & Materials,340058,3297.4,669795.9,673093.3
2016,GNFD,General Fund,0001DEV,Sustainable Dev and Construction GF,2.35,Real Estate and Relocation,QM,Supplies & Materials,16481,0,19459.47,19459.47
2016,EFOP,Enterprise Operating Fund,0080CCT,Convention Center CCT,2.1,Dallas Convention Center,QM,Supplies & Materials,4083826,0,3808098.31,3808098.31
2016,GNFD,General Fund,0001ELE,Elections,5.27,Elections,QV,Contractual & Other Services,660853,49315.2,594034.11,643349.31
2016,GNFD,General Fund,0001ECO,Economic Development GF,2.4,Small Business Initiatives,RE,Reimbursements,-670815,0,-393685,-393685
2016,GNFD,General Fund,0001POM,Business Development & Procurement GF,5.1100000000000003,Business Inclusion & Development Compliance Monitoring,PS,Personnel Services,475373,0,447457.6,447457.6
2016,GNFD,General Fund,0001ATT,City Attorney's Office GF,9.99,Department Support,QM,Supplies & Materials,70235,0,47713.83,47713.83
2016,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.2200000000000002,GIS Mapping for Private Development,RE,Reimbursements,0,0,-10040,-10040
2016,EFOP,Enterprise Operating Fund,0130AVI,Airport Operations AVI,2.21,Aviation Facilities - Dallas Executive Airport & Vertiport,RE,Reimbursements,0,0,-57901.25,-57901.25
2017,GNFD,General Fund,0001STS,Street Services GF,2.48,Traffic Safety and Congestion Management,RC,Capital Outlay,1800000,0,6000,6000
2016,GNFD,General Fund,0001STS,Street Services GF,2.4700000000000002,Traffic Operations Maintenance,RE,Reimbursements,-837449,0,-1293752.91,-1293752.91
2016,EFOP,Enterprise Operating Fund,0130AVI,Airport Operations AVI,2.06,Capital Construction and Debt Service,TR,Transfers Out,25153923,0,19873688.55,19873688.55
2016,EFOP,Enterprise Operating Fund,0080CCT,Convention Center CCT,2.29,Office of Special Events,PS,Personnel Services,446280,0,386470.99,386470.99
2016,GNFD,General Fund,0001BMS,Office of Financial Services GF,5.36,Grant Administration,PS,Personnel Services,1099050,0,1107076.65,1107076.65
2016,GNFD,General Fund,0001ATT,City Attorney's Office GF,3.07,Community Prosecution & Community Courts,QM,Supplies & Materials,23968,0,82221.41,82221.41
2016,INSV,Internal Service Fund,0196EBS,Equipment Services EBS,5.H,Environmental Services for City Fleet Operations,QM,Supplies & Materials,67603,0,10846.31,10846.31
2016,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,2.1800000000000002,Fire Inspection for New Construction,QV,Contractual & Other Services,62518,0,86050.63,86050.63
2016,GNFD,General Fund,0001PKR,Park and Recreation GF,4.01,Aquatic Services,QM,Supplies & Materials,749644,0,869976.3,869976.3
2016,GNFD,General Fund,0001IGS,Mgmt Services - Intergovernmental Services,5.41,Intergovernmental Services,QV,Contractual & Other Services,79359,0,84563.5,84563.5
2016,INSV,Internal Service Fund,0196EBS,Equipment Services EBS,5.F,City Fleet Paint and Body Shop Coordination,QM,Supplies & Materials,267,0,6649.41,6649.41
2016,EFOP,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,2.2000000000000002,Floodplain and Drainage Management,QM,Supplies & Materials,20358,0,43017.46,43017.46
2016,GNFD,General Fund,0001BMS,Office of Financial Services GF,5.36,Grant Administration,RE,Reimbursements,0,0,-48131.45,-48131.45
2016,GNFD,General Fund,0001CCO,City Controller's Office GF,5.0199999999999996,Accounts Payable,PS,Personnel Services,887770,673.39,840755.78,841429.17
2016,GNFD,General Fund,0001ECO,Economic Development GF,2.13,Economic Development Major Projects & Other Programs,RE,Reimbursements,-346752,0,-239998.5,-239998.5
2016,GNFD,General Fund,0001TWM,Trinity Watershed Management GF,2.4900000000000002,Trinity River Corridor Operations,PS,Personnel Services,638013,0,561601.03,561601.03
2017,EFOP,Enterprise Operating Fund,0130AVI,Airport Operations AVI,2.12,Dallas Love Field,WA,Debt Svc-Principal,266039,0,132392.54,132392.54
2016,GNFD,General Fund,0001ECO,Economic Development GF,2.04,Business Development,QM,Supplies & Materials,15119,68.8,3236.85,3305.65
2016,GNFD,General Fund,0001PKR,Park and Recreation GF,2.2999999999999998,Operation & Maintenance of Fair Park,QV,Contractual & Other Services,4581655,2.54,4229145.79,4229148.33
2017,EFOP,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,3.22,Stormwater Regulations & Enforcement,RC,Capital Outlay,199930,0,31965.75,31965.75
2016,INSV,Internal Service Fund,0199POM,Express Business Center POM,5.B,Business Services,QV,Contractual & Other Services,232475,103.16,242736.36,242839.52
2016,GNFD,General Fund,0001PBW,Public Works GF,2.0499999999999998,Capital and Implementation Program,QM,Supplies & Materials,58392,0,72054.02,72054.02
2016,GNFD,General Fund,0001PKR,Park and Recreation GF,4.12,Recreation Services,QV,Contractual & Other Services,4425289,0,3192359.59,3192359.59
2016,GNFD,General Fund,0001MCC,Mayor and City Council GF,5.03,Administrative Support for the Mayor and City Council,PS,Personnel Services,3587074,0,3864787.19,3864787.19
2016,GNFD,General Fund,0001PKR,Park and Recreation GF,4.0999999999999996,"Planning, Design, Construction & EMS and Environ Compliance",QM,Supplies & Materials,29352,0,17767.31,17767.31
2017,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.26,DWU General Expense,TR,Transfers Out,24554000,0,6016926.75,6016926.75
2016,GNFD,General Fund,0001PIO,Mgmt Services - Public Information Office,5.48,Public Information Office / Communications & Broadcasting,QM,Supplies & Materials,29779,0,24650.18,24650.18
2017,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.15,Engineering & Inspection Review for Private Development,RE,Reimbursements,-548741,0,-166228,-166228
2017,GNFD,General Fund,0001CCO,City Controller's Office GF,5.12,Cash and Debt Management,QM,Supplies & Materials,0,0,7.46,7.46
2016,GNFD,General Fund,0001BMS,Office of Financial Services GF,9.99,Department Support,PS,Personnel Services,301049,0,258280.67,258280.67
2016,GNFD,General Fund,0001OEQ,Mgmt Services - Environmental Quaity,3.14,Environmental Quality,PS,Personnel Services,1862852,0,1878613.46,1878613.46
2016,GNFD,General Fund,0001ECO,Economic Development GF,2.14,Economic Development Research and Information Services,RE,Reimbursements,-511191,0,-514383.09,-514383.09
2016,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.Q,Strategic Technology Management,QM,Supplies & Materials,457880,254500,44902.57,299402.57
2016,EFOP,Enterprise Operating Fund,0140OCA,Municipal Radio OCA,4.13,WRR Municipal Radio Classical Music,QM,Supplies & Materials,96915,0,86743.09,86743.09
2016,GNFD,General Fund,0001STS,Street Services GF,2.4300000000000002,Street Repair Division - Asphalt,QV,Contractual & Other Services,3767846,0,2675200.18,2675200.18
2016,GNFD,General Fund,0001ATT,City Attorney's Office GF,5.34,General Counsel,QM,Supplies & Materials,18072,0,5677.68,5677.68
2016,GNFD,General Fund,0001PKR,Park and Recreation GF,4.04,Golf and Tennis Centers,QV,Contractual & Other Services,775355,0,955744.99,955744.99
2016,GNFD,General Fund,0001ATT,City Attorney's Office GF,3.06,Code Litigation,PS,Personnel Services,894554,0,854897.16,854897.16
2016,GNFD,General Fund,0001PBW,Public Works GF,3.02,Ambient Air Monitoring,RE,Reimbursements,-741278,0,-755298.14,-755298.14
2016,GNFD,General Fund,0001BMS,Office of Financial Services GF,5.52,Utility Management,QV,Contractual & Other Services,213203,28781.1,102018.35,130799.45
2017,GNFD,General Fund,0001CVS,Civil Service GF,5.05,Applicant Processing - Civilian,RE,Reimbursements,0,0,-557.78,-557.78
2016,GNFD,General Fund,0001OEM,Mgmt Services - Emergency Management,1.07,Emergency Management Operations,QV,Contractual & Other Services,330727,180.6,311310.53,311491.13
2016,GNFD,General Fund,0001PBW,Public Works GF,2.2599999999999998,Interagency and Transportation Administration,RE,Reimbursements,-704867,0,-867255.11,-867255.11
2016,GNFD,General Fund,0001CTJ,Judiciary GF,1.03,Civil Adjudication Court,PS,Personnel Services,434701,0,175971.42,175971.42
2016,GNFD,General Fund,0001PBW,Public Works GF,3.01,Air Quality Compliance,QV,Contractual & Other Services,183929,0,162099.55,162099.55
2016,GNFD,General Fund,0001DPD,Police Department GF,1.31,Police Special Operations,PS,Personnel Services,31263093,0,32974036.01,32974036.01
2016,GNFD,General Fund,0001MCC,Mayor and City Council GF,5.03,Administrative Support for the Mayor and City Council,RE,Reimbursements,0,0,-151304.7,-151304.7
2017,GNFD,General Fund,0001DPD,Police Department GF,1.2,Police Academy and In-service Training,RC,Capital Outlay,0,0,8937.6,8937.6
2016,GNFD,General Fund,0001PBW,Public Works GF,2.41,Street Cut and Right-of-Way Management (Cut Control),QV,Contractual & Other Services,121086,0,131432.23,131432.23
